(Grupo Terrorista, Quantidade de Ataques)
('Liberians United for Reconciliation and Democracy (LURD)', 6)
('Manuel Jose Arce Commando', 6)
('Mapuche activists', 6)
('Marxist-Leninist Armed Propaganda Unit', 6)
('Morazanist Front for the Liberation of Honduras (FMLH)', 6)
('Mujahideen Kashmir', 6)
('Murle Tribe', 6)
('National Organization of Cypriot Fighters (EOKA)', 6)
('Nepal Defense Army', 6)
('OAS-MRP', 6)
('Opposition Militants', 6)
('Palestinian Revolution Forces', 6)
("People's Army (Myanmar)", 6)
('Popular Liberation Resistance Force', 6)
('Radicals', 6)
('Republican Action Force', 6)
('Revolutionary Armed Forces of Nicaragua (FARN)', 6)
('Revolutionary Front for National Liberation', 6)
('Sipah-I-Mohammed', 6)
('Southern Yemen Separatists', 6)
('Supporters of Qadhafi', 6)
('Tamil Nadu Liberation Army', 6)
('Taxi Drivers', 6)
('Tehrik al-Mojahedin', 6)
('Tribal Battlefront', 6)
('Turkish Hezbollah', 6)
('Ukrainian Nationalist Group', 6)
('Unemployed Persons', 6)
("United People's Democratic Front (UPDF) - Bangladesh", 6)
('Villagers', 6)
('Workers Brigade for Communism', 6)
('World Church of the Creator', 6)
('Youth Action Group', 6)
('Abkhazian Separatists', 5)
('Abu Obaida bin Jarrah Brigade', 5)
("A'chik Matgrik Elite Force (AMEF)", 5)
('Africa Marine Commando', 5)
('Afrikaner Resistance Movement (AWB)', 5)
('Al-Adl Wal Ihsane', 5)
('Al-Ittihaad al-Islami (AIAI)', 5)
("All Burma Students' Democratic Front (ABSDF)", 5)
('All India Sikh Students Federation (AISSF)', 5)
('Al-Qaqa Brigade', 5)
('Al-Shuda Brigade', 5)
('Americans for a Competent Federal Judicial System', 5)
('Anti-State Justice', 5)
('Armed Communist Formations', 5)
('Armenian Group', 5)
("Azania People's Organization (AZAPO)", 5)
('Baloch Waja Liberation Army (BWLA)', 5)
('Cambodian Freedom Fighters (CFF)', 5)
('CCCCC', 5)
('Che Guevara Guerrillas', 5)
('Coca Farmers', 5)
('Communist Anti-Nuclear Front', 5)
('Communist Territorial Nuclei', 5)
('Conscientious Arsonists (CA)', 5)
('Croatian Freedom Fighters', 5)
("Dagestani Shari'ah Jamaat", 5)
('Drug-Related Terrorists', 5)
('Druzes', 5)
('Ein Tyrol (One Tyrol)', 5)
("Ethiopian People's Revolutionary Party", 5)
('Evan Mecham Eco-Terrorist International Conspiracy (EMETIC)', 5)
('Farmers', 5)
('Fatah Hawks', 5)
('Fighting Guerrilla Formation', 5)
('Forces for the Defense of Democracy (FDD)', 5)
("Fred Hampton Unit of the People's Forces", 5)
('Front for the Restoration of Unity and Democracy', 5)
('Fuerza Nueva', 5)
('Gaddafi Loyalists', 5)
('Gracchus Babeuf', 5)
('Hekla Reception Committee-Initiative for More Social Eruptions', 5)
('Hezb-e Wahdat-e Islami-yi Afghanistan', 5)
('Hutus Former Soldiers', 5)
('Ijaw militants', 5)
('Independent Peasants Union', 5)
('International Committee Against Nazism', 5)
('Islambouli Brigades of al-Qaida', 5)
('Islamic Front', 5)
('Islamic Movement of Uzbekistan (IMU)', 5)
('Jaish al-Fatah (Syria)', 5)
('Jamaat-al-Fuqra', 5)
('Jund al-Khilafah (Tunisia)', 5)
('Kanak Socialist National Liberation Front', 5)
('Kenya African National Union (KANU)', 5)
('Kharkiv Partisans', 5)
('Khristos Kasimis', 5)
('Khun Sa Guerrillas', 5)
('Kirat Janabadi Workers Party', 5)
('Kuki Tribal Militants', 5)
('Kurdish Sympathizers', 5)
('Long-time Muslim immigrants from Bangladesh', 5)
('Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal', 5)
('Mahaz Fedai Tahrik Islami Afghanistan', 5)
('Mano Blanca', 5)
('Meinhof-Puig-Antich Group', 5)
('Miscreants', 5)
('Montoneros Patria Libre', 5)
('Mujahedeen Shura Council in the Environs of Jerusalem', 5)
('Muslim Demonstrators', 5)
('Najd Province of the Islamic State', 5)
('National Congress for the Defense of the People (CNDP)', 5)
('November 21 Organization', 5)
('Ogaden National Liberation Front (ONLF)', 5)
('Pan Africanist Congress (PAC)', 5)
('Patriotic Liberation Front', 5)
("People's Democratic Party (PDP)", 5)
("People's Revolutionary Command (CRP)", 5)
('Phalange', 5)
('Popular Front for Justice in the Congo', 5)
('Popular Revolutionary Vanguard (VPR)', 5)
('Protestant Action Group', 5)
('Puerto Rican Armed Resistance', 5)
('Puerto Rican Revolutionary Movement', 5)
('Punitive Leftist Front', 5)
('Red Cell', 5)
('Red Guerilla Family', 5)
('Revolutionary Armed Forces- Argentina (FAR-A)', 5)
('Revolutionary Force Seven', 5)
('Revolutionary Organization of Socialist Muslims', 5)
('Revolutionary Perspective', 5)
('Right Sector', 5)
('Right Wing Vigilantes', 5)
('rioters', 5)
('Rival caste', 5)
('Salafia Jihadia', 5)
('Samyukta Janatantrik Terai Mukti Morcha (SJTMM)', 5)
('Shan United Revolutionary Army', 5)
('Spanish National Action', 5)
('Sudan Revolutionary Front (SRF)', 5)
("Sudanese People's Liberation Forces", 5)
('Tanzim', 5)
('United Liberation Torchbearers Forces', 5)
('United Nicaraguan Opposition', 5)
('Welsh Extremists', 5)
('Zarate Willka Armed Forces of Liberation', 5)
('Zero Tolerance', 5)
('14 K Triad', 4)
('1st of May Group', 4)
("9 May People's Liberation Force", 4)
('Achik National Cooperative Army (ANCA)', 4)
('Afghans', 4)
('Ahrar Al-Jalil (Free People of the Galilee)', 4)
('Al-Arifeen', 4)
('Al-Faruo Battalion', 4)
('Al-Islah Party', 4)
('Al-Madina', 4)
("Al-Shabaab al-Mu'minin", 4)
('Anti-Communist Commando of the South', 4)
('Anti-Communist Vigilante Group', 4)
('Anti-Imperialist International Brigades', 4)
('Arab Democratic Party', 4)
('Arab Liberation Front (ALF)', 4)
('Aristide supporters', 4)
('Armed Communist Nucleus', 4)
('Armed Fight for Communism', 4)
('Armed Forces of National Liberation- Venezuela (FALN)', 4)
('Armed Proletarian Groups for Communism', 4)
('Armed Struggle for Communism', 4)
('Armed Workers Squads', 4)
('Armenian militants', 4)
('Basque terrorists', 4)
('Beja Congress', 4)
('Black Afro Militant Movement', 4)
('Brazilian Anti-Communist Alliance (AAB)', 4)
("Cambodian People's Party (CPP)", 4)
('Cannibal Army', 4)
('Coalition for Unity and Democracy (CUD)', 4)
('Colombia Without Guerrillas', 4)
('Column 88', 4)
('Comite Argentino de Lucha Anti-Imperialisto', 4)
('Commandos for A Popular alternative', 4)
('Committee of Coordination', 4)
('Covenant, Sword and the Arm of the Lord (CSA)', 4)
('Democratic Revolutionary Front (FDR)', 4)
('Dev Yol', 4)
('Dignity for Colombia', 4)
('Direct Action Against Drugs (DADD)', 4)
('Donskoy Army', 4)
('Eritrean Peoples Liberation Front', 4)
('Extortionists', 4)
('February 14th Movement', 4)
('Forces of the Struggling Ranks', 4)
('Gang', 4)
('Group of Popular Fighters', 4)
('Grupo Estrella', 4)
('Hill Tiger Force (HTF)', 4)
('Hindu Morcha Nepal', 4)
('Huria Kristen Batak Protestan (HKBP)', 4)
('Hynniewtrep National Liberation Council (HNLC)', 4)
('Ingush Rebels', 4)
('Iraqi Revolutionary Forces', 4)
('Israeli Terrorist Group', 4)
('Jammu and Kashmir Islamic Front', 4)
('Kanak Separatists', 4)
('Khasi Students Union', 4)
('Kuki Liberation Army (KLA)', 4)
('Kurdish Democratic Party-Iran (KDP)', 4)
('Latin America Anti-Communist Army (LAACA)', 4)
('Lebanese Socialist Revolutionary Organization', 4)
('Left wing activists', 4)
('Mahan Madhesh Janakantri Party (MMJP)- Nepal', 4)
('Makhachkala Gang', 4)
("Manipur Naga People's Army (MNPA)", 4)
('Merille Militia', 4)
('Milicias Rodriguistas', 4)
('Miskito Indian Organization', 4)
('Modakeke Ethnics', 4)
('Mon Guerrillas', 4)
('Mon Insurgents', 4)
('Mujahideen Islam Pattani', 4)
('Mukhtar Army', 4)
('Mungiki Sect', 4)
('Nandi Tribe', 4)
('National Front for the Salvation of Libya', 4)
('National Integration Front (FIN)', 4)
('National Liberation Force of Bengalis (Bangali Janamukti Bahini)', 4)
('National Resistance Movement (NRM)', 4)
('Nationalist Patriotic Alliance (APN)', 4)
('New Jewish Defense League', 4)
('New Order- France', 4)
("New Year's Gang", 4)
('NVF', 4)
('Otpor', 4)
('Pattali Makkal Katchi (PMK)', 4)
("People's Democratic Army", 4)
("People's Liberation Organization of Tamil Eelam", 4)
("People's Revolutionary Militias (MRP)", 4)
('Phineas Priesthood', 4)
('Popular Liberation Army (Puerto Rico)', 4)
('Popular Rage', 4)
('Pro-Palestinian Group', 4)
('Provisional Coordinating Committee for the Defense of Labor', 4)
('Punjabi Taliban', 4)
('Rajneeshees', 4)
('Real Ulster Freedom Fighters (UFF) - Northern Ireland', 4)
('Resistenza Corsa', 4)
('Revolutionary Action of Liberation', 4)
('Revolutionary Front for Hatian Advancement and Progress (FRAPH)', 4)
('Revolutionary Solidarity', 4)
('Robin Food', 4)
('Sabaot Land Defense Force (SLDF)', 4)
("Sandinist People's Army (EPS)", 4)
('Secret Organization of al-Qaida in Europe', 4)
('September 11', 4)
('Serbian Nationalists', 4)
('Serbs', 4)
('Shan State Army - North (SSA-N)', 4)
('Sheikh Omar Hadid Brigade', 4)
('Sicarii', 4)
('Sinhalese Militants', 4)
('Somozists', 4)
('Sovereign Citizen', 4)
('Spanish Armed Group', 4)
('Student Demonstrators', 4)
('Student Front of the People', 4)
('Sudan Alliance Forces', 4)
("Sudtiroler Volkspartei-south tyrol people's party", 4)
('Sympathizers of Al-Qaida Organization', 4)
('Tamil Makkal Viduthalai Pulikal (TMVP)', 4)
('Tehrik-e-Nafaz-e-Shariat-e-Mohammadi (TNSM)', 4)
('The Association for Islamic Mobilisation and Propagation (UAMSHO)', 4)
('The Northern Alliance (or United Islamic Front for Salvation of Afghanistan – UIFSA)', 4)
('Tribesmen Murad Tribe', 4)
('Tupamaro Revolutionary Movement', 4)
('Ugandan Rebels', 4)
('United Front for Democratic Change (FUC)', 4)
('United Kuki Liberation Front (UKLF) - India', 4)
('Urban Guerrillas', 4)
('Yemenis', 4)
('Zimbabwe Guerrillas', 4)
('14th of December Command', 3)
('23 May Democratic Alliance (Algeria)', 3)
('313 Brigade (Syria)', 3)
('7 April Libyan Organization', 3)
('Abida Tribe', 3)
('Aceh Singkil Islamic Care Youth Students Association (PPI)', 3)
('Achik National Liberation Army (ANLA)', 3)
("Adivasi People's Army (APA)", 3)
('Afghan Rebels', 3)
('Air and Azawak Liberation Front', 3)
("Al-Ahwaz Arab People's Democratic Front", 3)
('Al-Furqan Brigades', 3)
('Algeisk Wolves', 3)
('Algeria Province of the Islamic State', 3)
('Algerian Moslem Fundamentalists', 3)
('Al-Haramayn Brigades', 3)
('Al-Jehad', 3)
('All India Anna Dravida Munetra Kazgan Party', 3)
('Al-Nasireen Group', 3)
('Al-Sadr Brigades', 3)
('Al-Sham Legion', 3)
("American Servicemen's Union (ASU)", 3)
('Amr Bil Maroof Wa Nahi Anil Munkir', 3)
('Andres Castro United Front', 3)
('Angry Brigade', 3)
('Animal Rights Militia', 3)
('Ansar Al Sunnah (Palestine)', 3)
('Anti-Castro Command', 3)
('Anti-Castro Group', 3)
('Anti-Environmentalist', 3)
('Anti-Immigrant Activists', 3)
('Anti-Imperialist Cell (AIZ)', 3)
('Anti-Revolutionary Agents', 3)
('Anti-State Action', 3)
('Anti-Zionist Commandos', 3)
('Arab Revolutionary Cells', 3)
('Armata Corsa', 3)
('Armed Communist Struggle', 3)
('Armed Forces of Popular Resistance (FARP)', 3)
('Armed Nuclei for Territorial Counterpower', 3)
('Armed Squads for Communism', 3)
('Armenian Nationalists', 3)
('Army for Freeing Scotland', 3)
('Army of Islam', 3)
('Army of the Tribes', 3)
('Arsonists for Social Cohesion', 3)
('Asbat al-Ansar', 3)
('Association of Demobilized Armed Forces', 3)
('Attack Teams for the Dissolution of the Nation (Greece)', 3)
('Autonomous Manuel Rodriguez Patriotic Front', 3)
('Autonomous Resistance', 3)
('Autonomy-Seeking Arabs', 3)
('Baloch Young Tigers (BYT)', 3)
('Bavarian Liberation Army', 3)
('Besi Merah Putih Militia', 3)
('Black Berets', 3)
('Black Brigade', 3)
('Black Liberation Front', 3)
('Black Revolutionary Assault Team', 3)
('Black Wednesday', 3)
('Blacks', 3)
('Bodu Bala Sena', 3)
('Boere Aanvals Troepe (BAT)', 3)
('Brigades of Imprisoned Sheikh Omar Abdel-Rahman', 3)
('Catholic Reaction Force', 3)
('Charles Martel Group', 3)
('Christ Chaos', 3)
('Colombian Patriotic Resistance', 3)
('Combat 18', 3)
('Commandos of France', 3)
('Communist Group of Proletarian Internationalism', 3)
('Communist Hunters Command (CCC)', 3)
('Communist Party of Nepal- Unified Marxist-Leninist (CPN-UML)', 3)
('Communist Party of Thailand', 3)
('Congress Party Activists', 3)
('Corsican Revolutionary Brigade', 3)
('Croatians', 3)
('Death to Rustlers', 3)
('December 13 Independent Group', 3)
('Delta Group', 3)
('Dravidar Viduthalai Kazhagam (DVK)', 3)
('Earth First!', 3)
("Egypt's Revolution", 3)
('Ejercito de Liberacion Nacional (Bolivia)', 3)
('Farighan', 3)
('Fatah al-Islam', 3)
('Fedayeen', 3)
('Fezzan Province of the Islamic State', 3)
('Fire Group', 3)
('Forbid the Evil Group (Muslim Extremists)', 3)
('Former Interior Ministry Officers', 3)
('Free Libya Martyrs Brigade', 3)
('Freedom Party', 3)
('Front for the Liberation of the French Somali Coast', 3)
('Front for the National Liberation of Puerto Rico', 3)
('Fuerzas Armadas Revolucionarias del Pueblo (FARP)', 3)
('Georgian Militants', 3)
('German Speaking Separatists', 3)
('Global Intifada', 3)
('Greek National Socialist Organization', 3)
('Guerilla Party of the Galician Poor', 3)
('Habr Gedir Clan', 3)
('Hadramawt Tribes Alliance', 3)
('Hanafi Muslims', 3)
('Harakat ul-Mujahidin (HuM)', 3)
('Hezbollah Palestine', 3)
('Iberian Anarchist Federation', 3)
('Idealist Association', 3)
('Ikhwan-ul-Muslimeen', 3)
('Internationalist Cells', 3)
("Iraq's Jihadist Leagues", 3)
('Islamic Jihad Group (IJG)', 3)
('Islamic Mujahidin', 3)
('Islamic Party of Kenya (IPK)', 3)
('Islamic Unification Movement', 3)
('Islamic Youth Shura Council', 3)
('Jadid Al-Qaida Bangladesh (JAQB)', 3)
('Jamiat-e Islami-yi Afghanistan', 3)
('Janatantrik Terai Mukti Morcha- Bisphot Singh (JTMM-B)', 3)
('Jewish Committee of Concern', 3)
('Karamojong Warriors', 3)
('Karbi National Volunteers (KNV)', 3)
('Karenni National Progressive Party', 3)
('Kashmiri Hezbollah', 3)
('Kilafah Islamic Movement', 3)
('Kuki National Army (KNA)', 3)
('Kuki National Liberation Front (KNLF)', 3)
('Kurdish guerrillas', 3)
('Latin American Anti-Fascist Command', 3)
('Left-Wing Workers', 3)
('Liberation Army for Presevo, Medvedja and Bujanovac (UCPMB)', 3)
('Libyan', 3)
('Likud Political Party', 3)
('Mabanese Defence Forces', 3)
('Madhesi People’s Rights Forum (MPRF)', 3)
('Mahaz-e-Inquilab', 3)
('Mariano Moreno National Liberation Commando', 3)
('Maskini Liberation Front', 3)
('Medellin Drug Cartel', 3)
('Misseriya Arab Tribesmen', 3)
('Movement for Democratic Change (MDC)', 3)
('Movement for the Actualization of the Sovereign State of Biafra (MASSOB)', 3)
('Mujahedeen Army', 3)
('Muslim Janbaz Force', 3)
('Muslim Youth', 3)
('Mustafa al-Hujairi Group', 3)
('National Alliance (Chad)', 3)
('National Anti Communist Commando', 3)
('National Democratic Front-Bicol (NDF-Bicol)', 3)
('National Front Against Tigers (NFAT)', 3)
('National Liberation Army (Ecuador)', 3)
('National Liberation Front of Provence (FLNP)', 3)
("National People's Movement Coordination Committee", 3)
('National Revolution', 3)
('National Revolutionary Command (Umar al-Mukhtar)', 3)
('National Socialist Council of Nagaland-Khole-Kitovi (NSCN-KK)', 3)
('Nationalist Intervention Group', 3)
('Nduma Defense of Congo (NDC)', 3)
('Nestor Paz Zamora Commission (CNPZ)', 3)
('Niger Delta Liberation Force (NDLF)-Nigeria', 3)
("Niger Delta People's Volunteer Force (NDPVF)", 3)
('Niger Delta Vigilante (NDV)', 3)
('Northern Diriangen Front (FND)', 3)
('Northern Terror Front', 3)
('Nyatura Militia', 3)
('October-80', 3)
("Odua Peoples' Congress (OPC)", 3)
('Organized Comrades for Feminist Counter-Power', 3)
('Organized Proletarian Communists', 3)
('Overall Deniers of Joining the Existing', 3)
('Panama Defense Force', 3)
('Patria Nueva (New Country)', 3)
("People's Liberation Movement", 3)
('Popular Anti-Communist Militias', 3)
('Popular Will (Greece)', 3)
('Pro-Iraqi Terrorists', 3)
('Pro-Kabul Provocateurs', 3)
('Proletariat Self-defense Groups', 3)
('Puerto Rican Resistance Movement', 3)
('Raul Ernesto Cruz Leon, Salvadorian', 3)
('Red Brigades Fighting Communist Union (BR-UCC)', 3)
('Red Flying Squad', 3)
('Red Guard', 3)
('Red Sea Afar Democratic Organization (RSADO)', 3)
('Resistencia Galega', 3)
('Revolutionary Action Party', 3)
('Revolutionary Anti-Racist Action', 3)
('Revolutionary Armed Organization', 3)
('Revolutionary Cells Network (SRN)', 3)
('Revolutionary Commandos of Solidarity', 3)
('Revolutionary Force 9', 3)
('Revolutionary Internationalist Solidarity', 3)
('Revolutionary Liberation Action (Epanastatiki Apelevtherotiki Drasi) - Greece', 3)
('Revolutionary Movement for National Salvation (REMNASA)', 3)
('Revolutionary Student Front', 3)
('Revolutionary Worker Clandestine Union of the People Party (PROCUP)', 3)
('Revolutionary Workers Party of Bolivia (PRTB)', 3)
('Right-Wing Militants', 3)
('Rohingya Solidarity Organization', 3)
('RYF', 3)
('Saharan Revolutionary Armed Front (FARS)', 3)
('Save Kashmir Movement', 3)
('Save Our Israel Land', 3)
('Save Uganda Movement', 3)
('Sect of Revolutionaries (Greece)', 3)
('Seikijuku', 3)
('Self-Defense Group of Imghad Tuaregs and Allies (GATIA)', 3)
('September 11 Commandos', 3)
('Settlers at Kfar Darom', 3)
('Shan Insurgents', 3)
('Shan State Army - South (SSA-S)', 3)
('Shura Council of Ajdabiya Revolutionaries', 3)
('Sindhi nationalists', 3)
('Skinheads', 3)
("Socialist Patients' Collective (SPK)", 3)
('Soldiers of the Algerian Opposition', 3)
('Somali Islamic Front', 3)
('South African Liberation Support Cadre (SALSC)', 3)
('South Sudan Liberation Army (SSLA)', 3)
('Special Purpose Islamic Regiment (SPIR)', 3)
('Suicide Squad', 3)
('Territorial Resistance Army', 3)
('The Order II (Bruder Schweigen Strike Force II)', 3)
('Timorese Students', 3)
('Togolese Dissidents', 3)
('Tontons Macoutes', 3)
('Turkish Communist Workers Party', 3)
('Turks', 3)
('Union of Congolese Patriots (UPC)', 3)
('Union of Forces for Democracy and Development (UFDD)', 3)
('United Achik Liberation Army (UALA)', 3)
('United Action Council', 3)
('United Bengali Liberation Front (UBLF)', 3)
('United Somali Congress', 3)
('Vietnamese Organization to Exterminate Communists and Restore the Nation', 3)
('Waltraud Boock Group', 3)
('White Legion (Georgia)', 3)
('Worker Autonomy, Continuous Struggle', 3)
('Yellow Organization of Air Force Officers', 3)
('1920 Revolution Brigades', 2)
('28 May Armenian Organization', 2)
('28th of December Group', 2)
('4 August National Organization', 2)
('Abd al-Krim Commandos', 2)
('Abkhazian guerrillas', 2)
('Abstentionist Brigades', 2)
('Actiefront Nationalistisch Nederland', 2)
('Action Front for the Liberation of the Baltic Countries', 2)
('Adan Abyan Islamic Army (AAIA)', 2)
('Afar Revolutionary Democratic Unity Front', 2)
('Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)', 2)
('Airport Protesters', 2)
('Akali Dal Party', 2)
('Al-Badr', 2)
('Al-Bakazim', 2)
('Albanian Separatists', 2)
('Al-Borkan Liberation Organization', 2)
('Alejo Calatayu', 2)
('Aleppo Fatah Operations Room', 2)
('Al-Faran', 2)
('Al-Hadid', 2)
('Al-Intiqami al-Pakistani', 2)
('All Nepal National Free Student Union-Revolutionary', 2)
("Allah's Tigers", 2)
("Al-Ma'unah", 2)
('Al-Nasirin (India)', 2)
('Al-Qaida Network for Southwestern Khulna Division', 2)
("Al-Sa'iqa", 2)
('Al-Toaiman Tribesmen', 2)
('Americans for Justice', 2)
('Ananda Marga', 2)
('Anarchist Faction', 2)
('Anarchist Solidarity', 2)
('Angola Rebels', 2)
('Angry Brigade (Italy)', 2)
('Ansar al-Din Front', 2)
('Ansar Wa Mohajir (Pakistan)', 2)
('Ansarul Islam (Pakistan)', 2)
('Anti-Armenian Organization', 2)
('Anti-Clerical Pro-Sex Toys Group', 2)
('Anti-Communist Patriotic Front', 2)
('Anti-Democratic Struggle', 2)
('Anti-Establishment Nucleus', 2)
('Anti-Fascist Territorial Group', 2)
('Anti-Imperialist Territorial Nuclei (NTA)', 2)
('Anti-Imperialistic Communist Revolutionaries', 2)
('Anti-Kurdish Turks', 2)
('Anti-Narita Extremists', 2)
('Anti-Socials', 2)
('Anti-Zionist Movement', 2)
('Arab Socialist Baath Party', 2)
('Arakan Liberation Party (ALP)', 2)
('Arauco Malleco Coordinating Group (CAM) - Chile', 2)
('Argentine National Organization Movement (MANO)', 2)
('Armed Commandos in the Fighting Army of Mario Zichieri', 2)
('Armed Forces for Liberation of East Timor (FALINTIL)', 2)
('Armed Forces for National Salvation - Army of the People (FASN-EP)', 2)
('Armed Forces Revolutionary Council (AFRC)', 2)
('Armed Group for the Defence of the People', 2)
('Armed Nuclei for Communism', 2)
('Armed Revolutionary Action (ENEDRA)', 2)
('Armenian Extremists', 2)
('Army of the Republic of Ilirida', 2)
('Arsonists', 2)
('Arya', 2)
('Aryan Brotherhood', 2)
('Autonomen', 2)
('Autonomy Front', 2)
('Avengers of the Infants', 2)
('Baba Ladla Gang', 2)
('Bahujan Samaj Party', 2)
('Baloch National Liberation Front', 2)
('Bangladesh Road Transport Workers Federation', 2)
('Basque guerrillas', 2)
('Basque Militants', 2)
('Bedouin Movement (Sudan)', 2)
('Beirut Martyrs Forces Organization', 2)
('Belarusian Liberation Army', 2)
('Bharatiya Janata Party', 2)
('Biafra Zionist Movement (BZM)', 2)
('Black American Moslems', 2)
('Black Cells', 2)
('Black December', 2)
('Black Eagles', 2)
('Black Flag (Bandera Negra)', 2)
('Black Hand', 2)
('Black Lebanon', 2)
('Black March', 2)
('Black War', 2)
('Bolivian Luminous Path', 2)
('Bosnian Serbs', 2)
('Brelvi Muslims', 2)
('Burma Communist Party', 2)
('Cali Narcotics Cartel', 2)
('Carlos Echeverria commando group', 2)
('Central American Movement of Solidarity (MOSCA)', 2)
('Chechen Lone Wolf Group', 2)
('Children of November', 2)
('Christian Liberation Army', 2)
("Citizen's Rights Protection Volunteers", 2)
('Civil War Veterans', 2)
('Clandestini Corsi', 2)
('Cleansing Squad', 2)
('Columbia PM', 2)
('combat territory groups', 2)
('Commando Delta', 2)
('Committee for Direct Action Against War', 2)
('Communist Combat Unit', 2)
('Communist Fighting Nuclei', 2)
('Communist Front for Counterpower', 2)
('Communist Party of Malaysia- Marxist-Leninist', 2)
('Communist Patrols for Counter Power', 2)
('Communist Progress', 2)
('Communists Fighting Imperialism and Armaments', 2)
('Condor', 2)
('Congolese Democratic Coalition', 2)
('Congolese National Movement- Lumumba (MNCL)', 2)
('Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP)', 2)
('Conqueror Army', 2)
('Continental Revolutionary Army', 2)
('Council for Popular Justice', 2)
('Cyrenaica Self-Defense Force', 2)
('Dark Harvest', 2)
('Defenders of the Fatherland', 2)
('Democratic Front for Renewal (FDR)', 2)
('Democratic Movement for the Liberation of the Eritrean Kunamas (DMLEK)', 2)
('Derna Mujahideen Shura Council', 2)
('Dissident', 2)
('Dnestr Republic Separatists', 2)
('Dominican Popular Movement (MPD)', 2)
('Down with Lubbers', 2)
('Draa El Mizan Seriat', 2)
('Dynamic Youth Forum', 2)
('Egbesu Youths of the Bayelsa', 2)
('Egyptian Tawhid and Jihad', 2)
('Environmental Life Force', 2)
('Enyele Militia', 2)
('Ethiopians', 2)
('Eva Peron Organization', 2)
('Farm Animal Revenge Militia (FARM)', 2)
("Farmer's Movement of the Philippines (KMP)", 2)
("Federation of Students and Scholars of Cote d'Ivoire (FESCI)", 2)
('Fighters for Communism', 2)
('Filipino Soldiers for the Country', 2)
('Forest Brothers', 2)
('Former Govt. Troops', 2)
('Former Soldiers/Police', 2)
('Forum for the Restoration of Democracy-Kenya', 2)
("Francisco Villa People's Front", 2)
('Free Fatherland', 2)
('Freedom Eagles of Africa', 2)
('Friends of Freedom', 2)
('Front de Liberation du Quebec (FLQ)', 2)
('Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC)', 2)
('Fundamentalists', 2)
('Gangs of Conscience', 2)
('Gay Liberation Front', 2)
('Generation of Arab Fury', 2)
('Georgian rebels', 2)
('German Resistance Movement', 2)
("God's Army", 2)
("God's Oppressed Army", 2)
('Gono Bahini (GB)', 2)
('Government Supporters', 2)
('Greater Damascus Operations Room', 2)
("Greek Anarchists' Union", 2)
('Group for Martyred Isam as-Sartawi', 2)
('Grupo de Combatientes Populares', 2)
('Gruppe Haw Weg Den Scheiss', 2)
('Guardians of the Islamic Revolution', 2)
('Guardsmen of Islam', 2)
('Guatemalan Communist Party', 2)
('Guerrillas of Christ the King', 2)
('Gutierrez Gomez Resistance Group', 2)
('Hassan Mabkhut Group', 2)
('Hijaz Province of the Islamic State', 2)
('Hizb al-Tahrir al-Islami (HT)', 2)
('Ikhwan Jammu and Kashmir', 2)
('Imam Hussein Brigade', 2)
('Independent Nasserite Movement', 2)
('Individuals Tending Toward Savagery', 2)
('Inkotanyi', 2)
('International Communist Group', 2)
('International Mercenary Brigade', 2)
('International Revolutionary Front', 2)
('International Solidarity', 2)
('Into the Blue Commando of the Revolutionary Cells', 2)
('Iranian Extremists', 2)
('Iraqi Communists', 2)
('Iraqi Democratic Front', 2)
('Iraqi Islamic Vanguards for National Salvation (IIVNS)', 2)
('Iraqi National Congress (INC)', 2)
('Irian Jaya Rebels', 2)
('Irianese Tribesmen', 2)
('Islam Liberation Front', 2)
('Islami Jamiat-e-Talaba (IJT)', 2)
('Islamic Arab Front of Azawad (FIAA)', 2)
('Islamic Cause Organization', 2)
("Islamic Defenders' Front (FPI)", 2)
('Islamic Jihad Organization (Yemen)', 2)
('Islamic Jihad Union (Uzbekistan)', 2)
('Islamic Movement of Kashmir', 2)
('Islamic Movement Organization', 2)
('Islamic Party (Somalia)', 2)
('Islamic Revenge Organization', 2)
('Islamic Shashantantra Andolon (ISA)', 2)
('Ittehad-i-Islami', 2)
('Jaish al-Muslimin (Army of the Muslims)', 2)
("Jaish al-Ta'ifa al-Mansura", 2)
('Jaish Usama', 2)
('Jaish-e-Khorasan (JeK)', 2)
('Jamaica Labor Party', 2)
('Janatantrik Terai Mukti Morcha- Prithvi Singh (JTMM-P)', 2)
('January 22', 2)
('Jarrai', 2)
('Jharkhand Janmukti Parishad (JJP)', 2)
('Jharkhand Tribal Forces', 2)
('Jordanian Islamic Resistance', 2)
('Jordanian Revolutionary and Military Committee (MOUAB)', 2)
('Jorge Eliecer Gaitan Nationalist Movement', 2)
('Kachin Insurgents', 2)
('Kahane Chai', 2)
('Kaka-Tribesmen', 2)
('Kalpar Tribesmen', 2)
('Kamajor Hunters', 2)
('Kanakas', 2)
('Karbi Longri National Liberation Front (KLNLF)', 2)
("Kata'ib al-Khoul", 2)
('Katsuhisa Omori', 2)
('Khalistan Zindabad (Long Live Khalistan)', 2)
('Khmer Bandits', 2)
('Khorasan jihadi group', 2)
('Khumbuwan Mukti Morcha', 2)
('Kolla Benjo Cruz Command', 2)
('Koreans', 2)
